btp;desc
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0011930054 BIL L0011930055
2300015447;KR OTOMATIS LLG-CIMB NIAGA PT.KARTA MAS KENCA 20240515430299667
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0011901319 BIL L0011901318
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA PT.FRESH ONE
2300016045;KR OTOMATIS LLG-CIMB NIAGA PT.KREASI ANUGRAH eli Stock Susu 1L 202405161122397755
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SUPRA BOGA LESTARI 202405141186062317
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SUPRA BOGA LESTARI 202405141186062317
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.ANUGRAH BERKAT
2300014826;KR OTOMATIS LLG-CIMB NIAGA PT.ARGHA KARYA PRI KWT/GDI-INDO/2024/ 04/927819,932187
2300003094;KR OTOMATIS LLG-CIMB NIAGA CV.CAHAYA SAKTI 0000006975 A000138 22 042924 B H550
2300000727;KR OTOMATIS LLG-CIMB NIAGA PT.BAKTIABADI INTI
2300016045;KR OTOMATIS LLG-CIMB NIAGA PT.KREASI ANUGRAH NV1210058236 Beli Stock Susu 1L 2024 052213567111
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 46768 202405268497 82132
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 45422 202405268497 82132
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 45423 202405268497 82132
2300011546;KR OTOMATIS LLG-CIMB NIAGA THE FINANCIAL CLUB reenfields 2024052 7467969053
2300003094;KR OTOMATIS LLG-CIMB NIAGA CV.CAHAYA SAKTI 0000006984 A000138 12 042924 B I245
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA PT.FRESH ONE POT PROMO APR 2024
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0012084526 BIL L0012084525
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0012084527
2300000727;KR OTOMATIS LLG-CIMB NIAGA PT.BAKTIABADI INTI
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
2300015447;KR OTOMATIS LLG-CIMB NIAGA PT.KARTA MAS KENCA 202406032124372200
2300013695;KR OTOMATIS LLG-CIMB NIAGA PT.KUDO TEKNOLOGI PG_TXN: 332377.000 00
2300018398;KR OTOMATIS LLG-CIMB NIAGA PT.SUMMARECON AGUN PEMBAYARAN KKG 05/ 06/2024
2300011741;KR OTOMATIS LLG-CIMB NIAGA PT.INDO KORDSA 012/5222473745( 27 33120) 5222473749 ( 1 20240528
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0012109701 BIL L0012109700
2300000168;KR OTOMATIS LLG-CIMB NIAGA CV.SARI RASA NUSAN 2024010414-5210055 240R
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SUPRA BOGA LESTARI 202405311314608268
2300008197;KR OTOMATIS LLG-CIMB NIAGA PT.MENSANA ANEKA P AYMENT FROM AVENZE L HOTEL 2024060621 32615809
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SUPRA BOGA LESTARI 202405311314608268
2300000727;KR OTOMATIS LLG-CIMB NIAGA PT.BAKTIABADI INTI
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA PT.FRESH ONE
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 46768 202406106932 30841
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA PT.FRESH ONE
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.PUJI SURYA INDA GF
2300005696;KR OTOMATIS LLG-CIMB NIAGA PT.MATAHARI PUTRA 45422 202406106932 30841
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.ANUGRAH BERKAT
2300016731;KR OTOMATIS LLG-CIMB NIAGA SYA PT.NAGALAUT USAHA Pb Greenfield N738 6727 SJ 030424
2300016731;KR OTOMATIS LLG-CIMB NIAGA SYA PT.NAGALAUT USAHA Pb Greenfield 5222 461945 SJ 140324
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PT.ANUGRAH BERKAT
2300000727;KR OTOMATIS LLG-CIMB NIAGA PT.BAKTIABADI INTI
2300000925;KR OTOMATIS LLG-CIMB NIAGA PT.PRIMA ISMAYA SE BILL0012109719 BIL L0012109718
2300016045;KR OTOMATIS LLG-CIMB NIAGA PT.KREASI ANUGRAH NV1210070919/INV12 10083679 Beli Sto ck 20240613
2300008197;KR OTOMATIS LLG-CIMB NIAGA PT.MENSANA ANEKA P AYMENT FROM AVENZE L HOTEL 2024061416 06144137
