btp;desc
2300015996;KR OTOMATIS LLG-MANDIRI CIPTA KIRANA WEHAR Order Greenfield 1 -0053061
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL PIK 
2300013873;KR OTOMATIS LLG-MANDIRI INDO MAINT KARYA U IRNSDT.240100003 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL BSD 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL PIK 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL MOI 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL MOI 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MITRA BELANJA ANDA GL BSD 
2300015135;KR OTOMATIS LLG-MANDIRI MENSA JAKARTA N7210714, N7195053 -0053061 
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI 
2300005705;KR OTOMATIS LLG-MANDIRI KRAMAYUDHA RATUMOT Payment Vendor BK/073/02/2024 -0053061
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT
2300007476;KR OTOMATIS LLG-MANDIRI RETNO PUJI LESTARI KOPI LUWAK
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 42879-P GY48055756-MT-1 .9 -0053061
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 18486-87-P GY48055755-MT-1 .19 -0053061
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 15676-P GY48055698-MT-1 .20 -0053061
2300008157;KR OTOMATIS LLG-MANDIRI TALENTA PACKAGING -0053061777 Clearing429556
