btp;desc
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210236590/521023 66981227900001000
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200005916
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222493325,5222493 326
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200006004
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200006265
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000133650
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000174355
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210250003/521025 01781228600001000
2300016117;KR OTOMATIS LLG-CITIBANK PT GOTO GOJEK TOKO 0100002466312812JA BOJABODETABEKOPSPr oject Makan
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200006682
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222495211,5222495 2125222495213,DN-0 7-11/IX/24DN4/15,1
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000174633
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210271369/521027 19291228900001000
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200007026
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200007110
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000174784
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200000017
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000174912
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000133995
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222496788,5222497 5035222497509,5222 497712522249
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000175151
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT /5210287745/521028 79571229500001000
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000175242
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222498974,5222499 3575222499358,5222 499359522249
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200000772
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT /52103089271230400 00100060
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200000966
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210315471
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000134763
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200001277
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000176092
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210328705
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000176252
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210321080
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200001551
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200001599
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222504145,DN/LZD/ II/25/001
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200001885
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222504146,5222504 7395222505157
RAMAYANA;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200001997
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222505759,5222505 760
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210354919
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000135273
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000176711
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210381736
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222506424,5222506 835522508275
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200002474
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210381752
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 52222508581,522250 82775222508557,522 2508558
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200002599
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200002814
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000177560
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210415670
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200003126
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000177824
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000136148
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222509577,5222510 2575222511931,5222 512089
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200003503
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210429587
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222511215,5222511 930DN/LZD/V/25/010
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178096
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200003650
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210445525
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178220
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000136505
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210459739
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178305
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222512655,DN/LZD/ VII/25/04
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178462
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210467964
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200004250
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210481900
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178685
2300014696;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222516098
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000136985
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000178794
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200004438
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210500118
2300012960;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222518206
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 5054R1200004512
2300017310;KR OTOMATIS LLG-CITIBANK PT. ADM ANIMAL NUT 5210515400
